Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,754.000000,767.799988,754.000000,757.309998,755.329285,71530
2020-01-02,756.000000,787.020020,755.799988,781.140015,779.096985,166440
2020-01-03,782.200012,809.799988,776.369995,790.460022,788.392639,248185
2020-01-06,804.000000,807.000000,780.200012,791.849976,789.778992,285655
2020-01-07,808.000000,862.979980,803.599976,847.010010,844.794739,913535
2020-01-08,839.799988,850.799988,817.659973,828.510010,826.343079,777285
2020-01-09,837.039978,844.200012,825.599976,832.619995,830.442383,297730
2020-01-10,835.400024,850.020020,831.000000,837.780029,835.588928,324900
2020-01-13,846.000000,856.000000,834.400024,838.020020,835.828308,177290
2020-01-14,842.320007,845.799988,825.010010,829.119995,826.951477,172695
2020-01-15,828.400024,831.200012,820.200012,827.479980,825.315735,172440
2020-01-16,827.479980,842.599976,822.000000,829.909973,827.739441,346850
2020-01-17,834.000000,837.000000,827.609985,833.130005,830.951050,411905
2020-01-20,838.599976,850.000000,832.000000,840.989990,838.790405,302045
2020-01-21,840.599976,846.000000,826.440002,831.780029,829.604614,112065
2020-01-22,839.599976,839.599976,828.799988,832.330017,830.153137,65250
2020-01-23,834.599976,840.000000,827.130005,837.900024,835.708557,55760
2020-01-24,843.119995,849.979980,837.090027,844.140015,841.932251,143805
2020-01-27,844.000000,878.700012,842.200012,863.859985,861.600647,449090
2020-01-28,869.250000,899.599976,867.809998,884.849976,882.535706,298800
2020-01-29,892.799988,897.989990,848.479980,864.859985,862.597961,759845
2020-01-30,840.000000,905.599976,820.000000,899.880005,897.526489,1117870
2020-01-31,906.979980,943.989990,892.000000,930.849976,928.415405,691875
2020-02-03,873.000000,979.000000,873.000000,949.309998,946.827148,999960
2020-02-04,964.000000,968.219971,943.000000,952.710022,950.218262,465105
2020-02-05,959.799988,961.599976,926.440002,931.190002,928.754578,294100
2020-02-06,937.580017,959.599976,929.010010,932.890015,930.450073,183835
2020-02-07,934.099976,938.359985,903.010010,919.469971,917.065186,221460
2020-02-10,922.000000,944.599976,912.200012,922.739990,920.326599,279155
2020-02-11,924.000000,939.000000,918.200012,923.830017,921.413818,159835
2020-02-12,933.799988,933.799988,920.200012,923.960022,921.543518,97460
2020-02-13,929.599976,952.000000,920.000000,938.530029,936.075317,347190
2020-02-14,943.900024,948.599976,887.539978,897.940002,895.591492,320295
2020-02-17,902.520020,929.200012,858.000000,907.169983,904.797363,596425
2020-02-18,906.000000,914.429993,891.400024,900.710022,898.354309,303165
2020-02-19,904.400024,915.799988,890.000000,895.280029,892.938477,285395
2020-02-20,897.780029,908.000000,860.000000,870.440002,868.163391,1705180
2020-02-24,857.500000,857.500000,816.000000,824.659973,822.503113,425365
2020-02-25,826.039978,852.900024,820.440002,829.679993,827.510071,294595
2020-02-26,826.000000,829.429993,800.440002,808.289978,806.175903,239545
2020-02-27,807.320007,829.000000,772.440002,803.530029,801.428528,445365
2020-02-28,774.000000,779.799988,752.400024,765.609985,763.607544,517055
2020-03-02,783.000000,819.590027,767.000000,787.020020,784.961609,458430
2020-03-03,797.590027,816.390015,774.929993,806.989990,804.879333,252535
2020-03-04,811.049988,819.000000,773.159973,778.530029,776.493835,203530
2020-03-05,789.000000,829.799988,778.309998,820.289978,818.144531,415730
2020-03-06,770.000000,897.539978,770.000000,886.119995,883.802429,983725
2020-03-09,876.000000,884.840027,843.690002,856.869995,854.628906,422245
2020-03-11,846.210022,909.000000,846.210022,859.349976,857.102417,546660
2020-03-12,825.000000,834.979980,774.489990,803.010010,800.909790,576215
2020-03-13,731.000000,821.090027,642.409973,783.969971,781.919556,419035
2020-03-16,764.000000,813.989990,745.200012,777.210022,775.177307,353175
2020-03-17,793.000000,809.590027,756.000000,766.130005,764.126282,254900
2020-03-18,783.599976,789.200012,711.020020,719.630005,717.747864,265605
2020-03-19,680.000000,680.039978,617.690002,649.770020,648.070557,452040
2020-03-20,652.049988,740.000000,652.049988,714.000000,712.132629,584705
2020-03-23,640.000000,680.000000,620.000000,643.369995,641.687378,214200
2020-03-24,651.020020,672.000000,598.119995,636.809998,635.935242,204945
2020-03-25,622.000000,666.000000,622.000000,652.250000,651.354065,187450
2020-03-26,665.799988,682.000000,650.239990,666.369995,665.454590,183075
2020-03-27,696.000000,699.799988,667.409973,678.270020,677.338318,159370
2020-03-30,642.000000,660.200012,630.200012,637.599976,636.724121,102705
2020-03-31,656.400024,739.200012,656.400024,715.969971,714.986511,553120
2020-04-01,720.429993,758.599976,695.000000,714.590027,713.608459,286565
2020-04-03,712.000000,718.799988,675.030029,685.869995,684.927856,197255
2020-04-07,716.729980,758.000000,689.299988,750.979980,749.948425,569950
2020-04-08,756.000000,792.000000,726.729980,753.849976,752.814453,211575
2020-04-09,767.000000,780.599976,760.000000,767.309998,766.256042,190870
2020-04-13,760.000000,771.789978,732.200012,737.549988,736.536865,63625
2020-04-15,757.000000,775.000000,728.200012,739.859985,738.843689,142050
2020-04-16,733.000000,793.989990,733.000000,782.090027,781.015747,269525
2020-04-17,809.539978,819.400024,772.739990,779.359985,778.289368,369485
2020-04-20,779.200012,803.000000,764.599976,793.219971,792.130371,129105
2020-04-21,785.109985,839.989990,762.799988,821.929993,820.800964,406515
2020-04-22,819.799988,850.400024,793.330017,838.650024,837.497986,417650
2020-04-23,850.000000,859.799988,830.000000,834.070007,832.924255,135270
2020-04-24,829.940002,847.000000,815.239990,840.479980,839.325439,237860
